id,eui,name,connected_at,disconnected_at,is_connected,last_connected,downtime_duration,last_uplink_received_at,last_downlink_received_at,last_status_received_at
eui-00000080029c07adf4,000080029C07ADF4,IDU00415-St. Ignatius Brgy Hall facing Fordham,,,False,,0.0,,,
eui-0000080029c07ace4,0000080029C07ACE,IDU00416-Silikon-PWX,,,False,,0.0,,,
eui-0000080029c07ad2a,000080029C07AD2A,IDU00414-St. Ignatius Barracks Gate 3,,,False,,0.0,,,
eui-0000080029c07add3,000080029C07ADD3,IDU00419-BPI Bel-Air Polaris-PWX,2022-09-22 22:46:57,,True,2022-09-29 17:46:32,0.0,2022-09-29 17:46:32,2022-09-29 17:39:17,2022-09-29 17:46:30
eui-0000080029c07add7,000080029C07ADD7,IDU00418-St. Ignatius Kaps Residence,2022-09-22 22:47:05,,True,2022-09-29 17:46:54,0.0,2022-09-29 17:46:54,2022-09-29 17:45:25,2022-09-29 17:46:47
eui-0000080029c07addd,000080029C07ADDD,IDU00413-Clixlogic Converge Manggahan,2022-09-29 08:45:53,,True,2022-09-29 17:46:24,0.0,2022-09-29 17:46:24,2022-09-29 17:45:16,2022-09-29 17:46:09
eui-0000080029c07ae05,000080029C07AE05,IDU00417-SH OUANO AVE SOUTH COSS-PWX,2022-09-25 16:29:56,,True,2022-09-29 17:46:48,0.0,2022-09-29 17:46:48,2022-09-29 17:38:24,2022-09-29 17:46:38
eui-000016c001f10090c4,0016C001F10090C4,PICO-00001-Pico Next Indoor Gateway Testing,2022-09-29 10:16:08,,True,2022-09-29 17:46:29,0.0,2022-09-29 17:46:29,2022-09-29 17:40:51,2022-09-29 17:46:14
eui-000016c001f11e7419,0016C001F11E7419,PICO-00002-PWX,,,False,,0.0,,,
eui-00001c497bcb1978,00001C497BCB1978,IDU00073-BSU-OJT-Janella-PWX,,,False,,0.0,,,
eui-00001c497bd1fd0a,00001C497BD1FD0A,IDU00087-Silikon-PWX-Office-Indoor-Gateway,2022-09-13 11:12:31,,True,2022-09-29 17:46:42,0.0,2022-09-29 17:11:08,2022-09-29 09:47:06,2022-09-29 17:46:42
eui-00001c497bd1fd17,00001C497BD1FD17,IDU00003-Lea OLais-PWX,,,False,,0.0,,,
eui-00001c497bd1fd1c,00001C497BD1FD1C,IDU00029-ThingsPh-PWX,,,False,,0.0,,,
eui-00001c497bd1fd3a,00001C497BD1FD3A,IDU00001-Delta Dore-PWX,,,False,,0.0,,,
eui-00001c497bee2cb5,00001C497BEE2CB5,ODU00015-OSMA 1-915-PWX,2022-09-13 11:12:31,,True,2022-09-29 17:47:00,0.0,,,2022-09-29 17:47:00
eui-00001c497bee2cca,00001C497BEE2CCA,ODU00003-Office-PWX,,,False,,0.0,,,
eui-00001c497bee2cd1,00001C497BEE2CD1,ODU00005-Pasig-OSMA 2-915-PWX,2022-09-13 11:12:34,,True,2022-09-29 17:46:58,0.0,,,2022-09-29 17:46:58
eui-00001c497bee2ce9,00001C497BEE2CE9,ODU00014-Pasig-OSMA 3-915-PWX,,2022-09-28 10:43:58,False,2022-09-28 10:40:18,219.719849,,,2022-09-28 10:40:18
eui-00001c497bee2d03,00001C497BEE2D03,ODU00022-OSMA 4-902,2022-09-13 11:12:30,,True,2022-09-29 17:46:57,0.0,,,2022-09-29 17:46:57
eui-00001c497bf35a44,00001C497BF35A44,ODU00015-Pasig-OSMA 1-868-PWX,2022-09-13 11:12:30,,True,2022-09-29 17:46:30,0.0,2022-09-29 17:37:12,2022-09-29 07:09:49,2022-09-29 17:46:30
eui-00001c497bf35a47,00001C497BF35A47,ODU00014-OSMA 3-868-PWX,,2022-09-28 10:43:58,False,2022-09-28 10:40:17,221.094223,2022-09-27 22:35:28,,2022-09-28 10:40:17
eui-00001c497bf35a6c,00001C497BF35A6C,IDU00002-PTCI 4-PWX,,,False,,0.0,,,
eui-00001c497bf35a7a,00001C497BF35A7A,ODU00022-OSMA 4-868-PWX,2022-09-13 11:12:33,,True,2022-09-29 17:46:44,0.0,2022-09-29 06:32:01,2022-09-29 06:31:32,2022-09-29 17:46:44
eui-00001c497bf35a81,00001C497BF35A81,ODU00003-Office-PWX,,,False,,0.0,,,
eui-00001c497bf35a83,00001C497BF35A83,ODU00005-OSMA 2-868-PWX,2022-09-13 11:12:34,,True,2022-09-29 17:46:22,0.0,2022-09-29 17:37:12,2022-09-29 17:01:02,2022-09-29 17:46:22
eui-00001c497bf35a8d,00001C497BF35A8D,IDU00064-Pullout,,,False,,0.0,,,
eui-00001c497bf35a90,00001C497BF35A90,IDU00092-LG Petroprime,2022-09-29 08:41:35,,True,2022-09-29 17:46:58,0.0,2022-09-29 16:53:16,2022-09-29 09:53:16,2022-09-29 17:46:58
eui-00001c497bf35a97,00001C497BF35A97,IDU00062-PWX,,,False,,0.0,,,
eui-00001c497bf35aad,00001C497BF35AAD,IDU00063-ThingsPh,,,False,,0.0,,,
eui-00001c497bffb30f,00001C497BFFB30F,IDU000024-The Curve Bldg 1,2022-09-24 12:23:05,,True,2022-09-29 17:46:35,0.0,2022-09-29 17:45:50,2022-09-29 17:30:49,2022-09-29 17:46:35
